Bölge Adı;Şehir;İlçe;Mağaza_2;Mağaza;Ürün Ana Grubu;Ürün Kategori;Ürün Marka;Ürün Adı;Kampanya;Satış Tipi;Tarih;Tarihnum;Yıl;Ay;Yıl_Ay;AyNum;Gun;Hafta;Haftanıngunu;Ciro;Kâr;Kâr %;Sepet Ortalaması;Kampanya Sayısı;Kampanya Tutarı;İade Tutar;Yeni Müşteri %;Yeni Müşteri Sayı;İndirim Oranı;Miktar;Maliyet;Hedef;MemberID;Magaza_ID
İç Anadolu 1. Bölge;Sivas;Sivas Merkez;Mağaza 267;Sivas 1;Oyun & Hobi;Nintendo;Marka 229; 3DS ICE WHITE KONSOL + SUPER MARIO LAND 3D;Zamanın Gerisinde Kalma!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;27.69;0.28;0.0101;27.69;1;926.9;0.0;0;0;0.6674;31;27.41;38.81;635192;M273
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 180;İstanbul Avrupa 30;Bilgisayar;Yazicilar;Marka 142; CR231B DESKJET 3050A WI-FI INKJET MULTIFUNCTION YAZICI;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;13.8;7.27;1.1151;13.8;1;163.9;0.0;1;1;0.5025;11;6.52;17.82;594856;M156
Marmara 1. Bölge;İstanbul;Beylikdüzü;Mağaza 155;İstanbul Avrupa 11;Telekom;Aksesuar;Marka 293; TE0PSPS44A  4 ÖN VE ARKA KORUYUCU FILM;İndirim Havuzu;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;73.15;-45.51;-0.3835;73.15;1;79.0;0.0;0;0;0.2752;1;118.66;46.92;598794;M131
Marmara 2. Bölge;Bursa;İnegöl;Mağaza 78;Bursa 3;Bilgisayar;Hard Disk;Marka 347; HDTD210EK3EA STOR.E SLIM 2.5 1TB SİYAH HDD;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;72.22;30.03;0.7119;72.22;0;0.0;0.0;0;0;;0;42.19;121.67;670878;M81
Marmara 2. Bölge;Bursa;İnegöl;Mağaza 78;Bursa 3;Beyaz Eşya;Bulaşik Makinesi;Marka 134; GDF 5200 I 5 PRG BULAŞIK MAKİNESİ;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;61.81;27.16;0.7838;61.81;0;0.0;0.0;0;0;;0;34.65;98.8;670878;M81
İç Anadolu 1. Bölge;Ankara;Keçiören;Mağaza 31;Ankara 11;Ses Ve Görüntü;Oto Hoparlörü;Marka 317; XSGTX121LC.EUR ARAÇ SUBWOOFER;Bitiriyoruz!!!;Mobil Uygulama;2023-10-04;45203;2023;10;2023-10;10;4;40;2;64.72;3.9;0.0641;64.72;1;69.9;0.0;1;1;0.696;1;60.83;70.43;640245;M32
İç Anadolu 1. Bölge;Ankara;Çankaya;Mağaza 38;Ankara 18;Fotoğraf & Video Kamera;Dijital Fotoğraf Makinesi;Marka 228; COOLPIX L23 GÜMÜŞ DİJİTAL FOTOĞRAF MAKİNESİ;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;26.39;4.51;0.2061;26.39;0;0.0;0.0;0;0;;0;21.88;25.61;640333;M39
Marmara 1. Bölge;Edirne;Edirne Merkez;Mağaza 90;Edirne 2;Ses Ve Görüntü;Docking Station;Marka 249; AJ3270D/12 /IPOD DOCKING SYSTEM;;Mağaza;2023-10-04;45203;2023;10;2023-10;10;4;40;2;109.54;0.0;;;0;0.0;109.54;0;0;;0;109.54;0.0;628753;M94
Karadeniz 2. Bölge;Ordu;Fatsa;Mağaza 251;Ordu 1;Oyun & Hobi;Pc;Marka 275; AIRBORNE HERO PC OYUN;İddialıyız!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;87.87;39.88;0.8309;87.87;1;94.9;0.0;1;1;0.5494;1;47.99;96.87;698283;M257
Karadeniz 2. Bölge;Ordu;Ordu Merkez;Mağaza 252;Ordu 2;Fotoğraf & Video Kamera;Çanta Ve Tripod;Marka 55; LOGIC UNZB2B NEOPREN MAVI AKSESUAR KILIFI;İddialıyız!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;53.66;0.0;;;1;0.0;53.66;1;1;0.513;0;53.66;0.0;604199;M258
İç Anadolu 1. Bölge;Ankara;Çankaya;Mağaza 42;Ankara 22;Ses Ve Görüntü;Tv Askisi;Marka 36; E-120 (MAX. 26?) 2 YÖNLÜ METALİK SİYAH HAREKETLİ ASKI APARATI;Zamanın Gerisinde Kalma!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;54.63;24.37;0.8051;54.63;1;354.0;0.0;0;0;0.604;6;30.26;58.17;617023;M43
Marmara 1. Bölge;İstanbul;Bakırköy;Mağaza 146;İstanbul Avrupa 3;Kişisel Bakim;Tansiyon Ölçer;Marka 49; BP 6000 ÜST KOL TANSİYON ÖLÇER;İndirim Havuzu;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;18.51;11.35;1.5868;18.51;1;259.87;0.0;1;1;0.6001;13;7.16;30.1;613862;M122
Karadeniz 1. Bölge;Bolu;Bolu Merkez;Mağaza 74;Bolu;Bilgisayar;Uygulama Yazilimi;Marka 101; LEOPAR TANK PC OYUN;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;111.02;47.1;0.737;111.02;0;0.0;0.0;1;1;;0;63.91;119.81;613420;M77
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 196;İstanbul Avrupa 39;Ses Ve Görüntü;Kulaklik & Mikrofon;Marka 64; KNOCK BLOCKS SİYAH/KIRMIZI KULAKÜSTÜ KULAKLIK;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;114.41;54.07;0.8962;114.41;0;0.0;0.0;0;0;;0;60.33;179.86;646728;M172
Akdeniz 2. Bölge;Hatay;İskenderun;Mağaza 112;Hatay 5;Bilgisayar;Yazicilar;Marka 176; X2670 INKJET MULTIFUNCTION YAZICI;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;161.57;0.0;;;0;0.0;161.57;1;1;;0;161.57;0.0;602212;M116
Marmara 1. Bölge;İstanbul;Silivri;Mağaza 194;İstanbul Avrupa 38;Kişisel Bakim;Epilatör;Marka 249; HP 6402/00 SATINELLE PLUS EPİLATÖR;Tarzına ve Ruhuna Göre;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;63.89;43.41;2.1196;63.89;1;1725.0;0.0;1;1;0.6849;25;20.48;74.32;726579;M170
Marmara 1. Bölge;İstanbul;Bahçelievler;Mağaza 148;İstanbul Avrupa 4;Beyaz Eşya;Ütü;Marka 163; ST 405 ÜTÜ;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;16.61;6.64;0.6654;16.61;0;0.0;0.0;1;1;;0;9.97;15.32;610135;M124
Marmara 1. Bölge;İstanbul;Sarıyer;Mağaza 172;İstanbul Avrupa 26;Oyun & Hobi;Müzik;Marka 157; CD /CAFE DE BEYOĞLU-1 RAPSODİ;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;46.2;30.23;1.8929;46.2;1;499.0;0.0;0;0;0.641;10;15.97;65.35;773559;M148
Marmara 1. Bölge;İstanbul;Bahçelievler;Mağaza 149;İstanbul Avrupa 5;Telekom;Cep Bilgisayari (Pda);Marka 287; I9082 GALAXY GRAND WHITE AKILLI TELEFON;Bitiriyoruz!!!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;18.43;7.38;0.6682;18.43;1;39.8;0.0;0;0;0.7509;2;11.05;30.51;594260;M125
Ege 1. Bölge;Aydın;Aydın Merkez;Mağaza 59;Aydın 3;Oyun & Hobi;Psp;Marka 317; PURSUIT FORCE PSP YAZILIM;Tam Size Göre!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;18.51;6.25;0.5103;18.51;1;39.98;0.0;0;0;0.5001;2;12.26;30.63;601527;M60
Marmara 1. Bölge;İstanbul;Bakırköy;Mağaza 146;İstanbul Avrupa 3;Kişisel Bakim;Saç Şekillendiriciler;Marka 164; K-062 STYLER SAÇ KESME SETİ;İndirim Havuzu;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;27.77;11.96;0.757;27.77;1;149.95;0.0;1;1;0.5001;5;15.8;47.78;613862;M122
Marmara 2. Bölge;Çanakkale;Çanakkale Merkez;Mağaza 81;Çanakkale 1;Bilgisayar;Mouse;Marka 184; M525 WİRELESS SİYAH MOUSE;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;175.93;0.0;;;0;0.0;175.93;1;1;;0;175.93;0.0;636721;M84
İç Anadolu 1. Bölge;Ankara;Altındağ;Mağaza 44;Ankara 24;Bilgisayar;Mouse;Marka 135; 42252 MAVI MOUSEPAD;;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;12.58;7.69;1.5722;12.58;0;0.0;0.0;1;1;;0;4.89;16.47;679480;M45
İç Anadolu 1. Bölge;Ankara;Altındağ;Mağaza 44;Ankara 24;Bilgisayar;Tablet Pc;Marka 231; iPad MD370TU/A 32GB WiFi White+ Cellular (3.Nesil);;Mağaza;2023-10-05;45204;2023;10;2023-10;10;5;40;3;59.72;25.53;0.7467;59.72;0;0.0;0.0;1;1;;0;34.19;100.54;679480;M45
Karadeniz 1. Bölge;Bolu;Bolu Merkez;Mağaza 74;Bolu;Bilgisayar;Notebook & Netbook Çantasi;Marka 55;" LOGIC ZLC216 NOTEBOOK ÇANTASI, 16"", SİYAH";Mutluluğu Teğet Geçme!;Mobil Uygulama;2023-10-05;45204;2023;10;2023-10;10;5;40;3;36.02;12.88;0.5565;36.02;1;77.8;0.0;0;0;0.7553;2;23.14;44.24;735320;M77
İç Anadolu 1. Bölge;Ankara;Altındağ;Mağaza 44;Ankara 24;Beyaz Eşya;Çamaşir Makinesi;Marka 287; WF1702WQN 7 KG 1200 DEVİR ÇMŞR MAKİNESİ;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;26.85;14.77;1.2225;26.85;1;29.0;0.0;1;1;0.7752;1;12.08;42.05;636251;M45
Akdeniz 2. Bölge;Mersin;Tarsus;Mağaza 239;Mersin 4;Kişisel Bakim;Saç Şekillendiriciler;Marka 164; K-093 / K-094 SAÇ DÜZLEŞTİCİ + SAÇ MAŞASI;Tarzına ve Ruhuna Göre;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;27.69;11.34;0.6943;27.69;1;59.8;0.0;0;0;0.6667;2;16.34;45.96;656035;M245
Doğu Anadolu 2. Bölge;Erzurum;Palandöken;Mağaza 95;Erzurum 1;Kişisel Bakim;Saç Şekillendiriciler;Marka 276; CIF75 SAÇ MAŞASI;Mutluluğu Teğet Geçme!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;27.77;-6.8;-0.1967;27.77;1;59.98;0.0;0;0;0.6667;2;34.57;31.0;636918;M99
Doğu Anadolu 2. Bölge;Van;Van Merkez;Mağaza 284;Van 1;Oyun & Hobi;Xbox;Marka 22; PROTOTYPE 2 X360 OYUN;Bitiriyoruz!!!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;13.88;5.22;0.6036;13.88;1;119.92;0.0;0;0;0.8334;8;8.66;15.27;652469;M290
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Notebook & Netbook Çantasi;Marka 351;" 16580 10"" SIYAH NETBOOK CANTASI";İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;15.73;7.56;0.9257;15.73;1;33.98;0.0;1;1;0.7168;2;8.17;24.15;646026;M117
Akdeniz 2. Bölge;Mersin;Mersin Yenişehir;Mağaza 237;Mersin 2;Beyaz Eşya;Çay Kahve Makinesi;Marka 104; TEAPOT VARIO ÇELİK ÇAYCI;;Mağaza;2023-10-06;45205;2023;10;2023-10;10;6;40;4;105.28;48.33;0.8487;105.28;0;0.0;0.0;1;1;;0;56.95;151.35;776056;M243
İç Anadolu 2. Bölge;Konya;Akşehir;Mağaza 218;Konya 1;Spor;Egzersiz Aleti;Marka 371; PLATES TOPU;Mutluluğu Teğet Geçme!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;50.46;0.0;;;1;0.0;50.46;1;1;0.542;0;50.46;0.0;620426;M224
İç Anadolu 1. Bölge;Çankırı;Çankırı Merkez;Mağaza 83;Çankiri;Telekom;Navigasyon Cihazi;Marka 252; TAHOE 7'' NAVIGASYON CIHAZI                 ;Her Eve Lazım!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;63.89;40.11;1.6871;63.89;1;2208.0;0.0;0;0;0.4692;32;23.78;90.42;760101;M86
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Mikrofon Ve Pc Kulaklik;Marka 353; PLUS TTC H411 MİKROFONLU KULAKLIK;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;23.6;11.36;0.9284;23.6;1;50.98;0.0;1;1;0.5751;2;12.24;15.92;646026;M117
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Notebook & Netbook Çantasi;Marka 130;" G834 SUNNY 10.2"" SLEEVE NOTEBOOK CANTASI";İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;15.73;6.98;0.7974;15.73;1;33.98;0.0;1;1;0.7573;2;8.75;27.98;646026;M117
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Mikrofon Ve Pc Kulaklik;Marka 231; IPOD LANYARD MA093G/A KULAKLIK;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;14.81;4.65;0.4584;14.81;1;15.99;0.0;1;1;0.7335;1;10.15;24.93;646026;M117
Marmara 1. Bölge;Tekirdağ;Çorlu;Mağaza 273;Tekirdağ 2;Beyaz Eşya;Blender;Marka 335; SMART POWER 700 W EL BLENDERI;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;50.83;16.37;0.4748;50.83;1;1207.8;0.0;1;1;0.6567;22;34.47;66.05;783159;M279
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Tablet Pc Aksesuari;Marka 103;" EQ-PSTABDEBO10 10.1"" BORDO SUNİ DERİ UNIVERSAL TABLET KILIFI";İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;14.81;8.43;1.3205;14.81;1;31.98;0.0;1;1;0.7335;2;6.38;19.15;646026;M117
Marmara 1. Bölge;İstanbul;Şişli;Mağaza 187;İstanbul Avrupa 35;Beyaz Eşya;Aydinlatma & Dekoratif;Marka 249; TORNADO SPİRAL 15W WW E27 1PF/6 SARI AMPUL;Kaliteli ve Ekonomik Fırsat;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;55.46;20.23;0.5741;55.46;1;778.7;0.0;1;1;0.4505;13;35.24;82.81;683380;M163
Ege 1. Bölge;Aydın;Söke;Mağaza 62;Aydın 6;Bilgisayar;Wireless Adaptörler Ve Bluetooth;Marka 87; EW7708PN CARDBUS NMAX 300M KABLOSUZ CARDBUS AG ADAPTORÜ;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;114.81;0.0;;;1;0.0;114.81;1;1;0.5;0;114.81;0.0;622747;M63
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Bilgisayar Hoparlörü;Marka 184; 980-000413 Z313 SES SISTEMI;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;18.51;8.0;0.7614;18.51;1;39.98;0.0;1;1;0.7144;2;10.51;31.48;646026;M117
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Taşinabilir Bellek;Marka 165; DT109 16GB USB BELLEK;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;18.51;6.07;0.4876;18.51;1;19.99;0.0;1;1;0.6668;1;12.44;13.75;646026;M117
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Tablet Pc Aksesuari;Marka 239; SİYAH IPAD AKILLI KAPAK;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;18.51;8.28;0.8092;18.51;1;39.98;0.0;1;1;0.6001;2;10.23;18.97;646026;M117
Doğu Anadolu 2. Bölge;Iğdır;Iğdır Merkez;Mağaza 113;Iğdir;Bilgisayar;Tablet Pc Aksesuari;Marka 210; IGLAZE + VERSACOVER GRİ IPAD KILIFI;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;27.77;10.93;0.6491;27.77;1;29.99;0.0;1;1;0.5715;1;16.84;17.06;646026;M117
Akdeniz 2. Bölge;Hatay;İskenderun;Mağaza 111;Hatay 4;Telekom;Aksesuar;Marka 239; -  4/4S SİYAH KILIF;İddialıyız!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;32.31;17.73;1.2153;32.31;1;69.8;0.0;0;0;0.6507;2;14.59;37.42;731341;M115
İç Anadolu 1. Bölge;Ankara;Yenimahalle;Mağaza 23;Ankara 3;Beyaz Eşya;Bulaşik Makinesi;Marka 141;  LFFA+ 8M14 X IB 8 PRG BULAŞIK MAKİNESİ;İddialıyız!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;22.17;11.83;1.1453;22.17;1;119.7;0.0;0;0;0.7007;5;10.33;38.61;784250;M23
Güneydoğu Anadolu;Diyarbakır;Diyarbakır Merkez;Mağaza 87;Diyarbakir 2;Telekom;Aksesuar;Marka 59; LINE  4 PARMAK IZI BIRAKMAYAN EKRAN K.;İndirim Havuzu;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;64.81;34.22;1.1187;64.81;1;1049.85;0.0;0;0;0.6804;15;30.59;84.71;605937;M90
İç Anadolu 1. Bölge;Ankara;Yenimahalle;Mağaza 23;Ankara 3;Beyaz Eşya;Bulaşik Makinesi;Marka 177; D1454CF BULAŞIK MAKİNESİ;İddialıyız!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;22.17;13.81;1.6511;22.17;1;47.88;0.0;0;0;0.7007;2;8.36;30.03;784250;M23
Akdeniz 1. Bölge;Antalya;Manavgat;Mağaza 50;Antalya 6;Ses Ve Görüntü;Anten;Marka 135; 44301 DVB-T PASİF MAVİ ODA ICI ANTEN;Tam Size Göre!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;84.74;32.49;0.6219;84.74;1;999.9;0.0;1;1;0.8462;10;52.25;70.53;605445;M51
Doğu Anadolu 2. Bölge;Van;Van Merkez;Mağaza 284;Van 1;Oyun & Hobi;Xbox;Marka 22; NEED FOR SPEED MOST WANTED X360 OYUN;Bitiriyoruz!!!;Mobil Uygulama;2023-10-06;45205;2023;10;2023-10;10;6;40;4;13.88;9.57;2.2182;13.88;1;224.85;0.0;0;0;0.8334;15;4.31;16.21;652469;M290
